id,variable,condition, group
1,44,condition1, group1
2,70,condition1, group1
3,36,condition1, group1
4,47,condition1, group1
5,31,condition1, group1
6,20,condition1, group1
7,30,condition1, group2
8,46,condition1, group2
9,29,condition1, group2
10,46,condition1, group2
11,47,condition2, group1
12,42,condition2, group1
13,43,condition2, group1
14,45,condition2, group1
15,41,condition2, group1
16,50,condition2, group2
17,45,condition2, group2
18,50,condition2, group2
19,47,condition2, group2
20,48,condition2, group2
21,58,condition3, group1
22,59,condition3, group1
23,68,condition3, group1
24,53,condition3, group1
25,64,condition3, group1
26,68,condition3, group1
27,56,condition3, group2
28,52,condition3, group2
29,51,condition3, group2
30,61,condition3, group2
